hour,count
23,1905.2
0,1622.2
16,2632.6
2,1141.4
18,3135.1
8,225.9
12,1336.5
3,863.5
22,2120.6
20,2845.8
5,541.4
13,1999.4
21,2265.6
7,299.5
6,307.0
17,2754.0
9,274.1
15,2552.6
4,651.5
19,3083.9
10,428.7
11,727.4
1,1460.9
14,2314.8
