hour,count
22,1523.0
3,1028.25
18,1721.5
13,916.75
1,1174.75
15,1472.5
9,421.25
4,838.25
12,570.5
6,386.75
0,1402.25
10,351.0
16,1590.25
7,386.5
8,351.75
2,938.5
23,1211.75
17,1591.75
21,1602.75
19,1512.5
11,500.25
5,569.25
20,1415.0
14,1155.75
